county_fips,county_name,year,child_pop,child_poverty_rate,pct_black,pct_native_american,pct_hispanic,housing_burden_rate
06001,Alameda,2012,340863,10.11,12.47,26.91,22.81,49.67
06055,Napa,2012,31338,8.33,2.07,7.09,32.96,51.47
06075,San Francisco,2012,108353,8.03,6.08,33.99,15.28,43.89
06011,Colusa,2012,6352,19.52,0.84,1.06,55.8,43.99
06031,Kings,2012,42185,22.73,7.81,4.28,57.75,45.73
06019,Fresno,2012,276998,24.57,5.19,9.72,51.22,54.34
06073,San Diego,2013,724796,12.38,5.2,11.41,33.21,55.01
06107,Tulare,2013,143945,24.66,1.7,3.4,62.09,51.89
06113,Yolo,2013,45308,11.73,2.65,13.43,31.93,56.51
06023,Humboldt,2013,26678,16.32,1.25,2.35,10.4,56.89
06057,Nevada,2013,18462,10.61,0.42,1.5,8.8,57.81
06003,Alpine,2013,254,7.09,0.63,1.53,7.84,54.79
06039,Madera,2013,42869,23.46,3.57,2.18,57.54,47.43
06045,Mendocino,2013,19176,19.02,0.74,1.78,23.05,53.3
06087,Santa Cruz,2013,55214,11.23,1.02,4.45,33.56,58.23
06105,Trinity,2013,2467,14.43,0.95,1.25,7.14,46.72
06037,Los Angeles,2013,2371472,16.58,8.56,14.1,48.69,56.41
06065,Riverside,2013,617524,14.9,6.33,6.11,46.75,57.71
06071,San Bernardino,2013,588407,16.93,8.92,6.61,51.07,56.79
06085,Santa Clara,2013,431785,8.21,2.68,33.04,27.2,45.54
06041,Marin,2013,52556,5.72,2.94,5.81,16.01,53.19
06061,Placer,2013,85385,7.41,1.22,6.33,13.15,51.78
06093,Siskiyou,2013,9135,22.24,1.31,1.39,10.93,54.58
06089,Shasta,2013,39313,15.82,0.97,2.5,8.8,55.5
06095,Solano,2013,100236,13.38,14.52,15.2,25.33,55.19
06015,Del Norte,2013,6063,21.16,3.67,2.86,21.08,54.23
06021,Glenn,2013,7754,16.74,0.8,2.55,38.89,42.32
06007,Butte,2013,45761,15.68,1.38,4.41,14.9,56.48
06063,Plumas,2013,3558,13.13,1.24,0.78,8.3,43.79
06079,San Luis Obispo,2013,50889,9.92,2.32,3.69,22.45,54.63
06029,Kern,2013,254390,22.68,5.84,4.45,51.85,52.11
06111,Ventura,2013,209433,11.05,1.86,7.0,41.32,56.11
06009,Calaveras,2013,8610,6.6,0.87,1.28,10.79,45.56
06081,San Mateo,2013,160568,6.48,2.75,25.67,25.57,48.53
06109,Tuolumne,2013,9423,11.49,2.27,1.2,11.74,59.3
06005,Amador,2013,6066,16.39,2.79,1.59,14.26,53.28
